Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
IND,2018,IP.PAT.NRES,33766
IND,2017,IP.PAT.NRES,31621
IND,2016,IP.PAT.NRES,31858
IND,2015,IP.PAT.NRES,33079
IND,2014,IP.PAT.NRES,30814
IND,2013,IP.PAT.NRES,32362
IND,2012,IP.PAT.NRES,34402
IND,2011,IP.PAT.NRES,33450
IND,2010,IP.PAT.NRES,30909
IND,2009,IP.PAT.NRES,27025
IND,2008,IP.PAT.NRES,30387
IND,2007,IP.PAT.NRES,28922
IND,2006,IP.PAT.NRES,23242
IND,2005,IP.PAT.NRES,19661
IND,2004,IP.PAT.NRES,13452
IND,2003,IP.PAT.NRES,9188
IND,2002,IP.PAT.NRES,8772
IND,2001,IP.PAT.NRES,8213
IND,2000,IP.PAT.NRES,6332
IND,1999,IP.PAT.NRES,2620
IND,1998,IP.PAT.NRES,6707
IND,1997,IP.PAT.NRES,8229
IND,1996,IP.PAT.NRES,6901
IND,1995,IP.PAT.NRES,5021
IND,1994,IP.PAT.NRES,3212
IND,1993,IP.PAT.NRES,2511
IND,1992,IP.PAT.NRES,2176
IND,1991,IP.PAT.NRES,2328
IND,1990,IP.PAT.NRES,2673
IND,1989,IP.PAT.NRES,2600
IND,1988,IP.PAT.NRES,2504
IND,1987,IP.PAT.NRES,2520
IND,1986,IP.PAT.NRES,2497
IND,1985,IP.PAT.NRES,2493
IND,1984,IP.PAT.NRES,2291
IND,1982,IP.PAT.NRES,1948
IND,1981,IP.PAT.NRES,1834
IND,1980,IP.PAT.NRES,1817
IND,2018,IP.PAT.RESD,16289
IND,2017,IP.PAT.RESD,14961
IND,2016,IP.PAT.RESD,13199
IND,2015,IP.PAT.RESD,12579
IND,2014,IP.PAT.RESD,12040
IND,2013,IP.PAT.RESD,10669
IND,2012,IP.PAT.RESD,9553
IND,2011,IP.PAT.RESD,8841
IND,2010,IP.PAT.RESD,8853
IND,2009,IP.PAT.RESD,7262
IND,2008,IP.PAT.RESD,6425
IND,2007,IP.PAT.RESD,6296
IND,2006,IP.PAT.RESD,5686
IND,2005,IP.PAT.RESD,4721
IND,2004,IP.PAT.RESD,4014
IND,2003,IP.PAT.RESD,3425
IND,2002,IP.PAT.RESD,2693
IND,2001,IP.PAT.RESD,2379
IND,2000,IP.PAT.RESD,2206
IND,1999,IP.PAT.RESD,2206
IND,1998,IP.PAT.RESD,2247
IND,1997,IP.PAT.RESD,1926
IND,1996,IP.PAT.RESD,1661
IND,1995,IP.PAT.RESD,1545
IND,1994,IP.PAT.RESD,1588
IND,1993,IP.PAT.RESD,1209
IND,1992,IP.PAT.RESD,1248
IND,1991,IP.PAT.RESD,1267
IND,1990,IP.PAT.RESD,1147
IND,1989,IP.PAT.RESD,1048
IND,1988,IP.PAT.RESD,1033
IND,1987,IP.PAT.RESD,988
IND,1986,IP.PAT.RESD,999
IND,1985,IP.PAT.RESD,982
IND,1984,IP.PAT.RESD,1003
IND,1982,IP.PAT.RESD,1128
IND,1981,IP.PAT.RESD,1067
IND,1980,IP.PAT.RESD,1207
IND,2018,IP.TMK.NRES,26220
IND,2017,IP.TMK.NRES,23687
IND,2016,IP.TMK.NRES,31659
IND,2015,IP.TMK.NRES,24237
IND,2014,IP.TMK.NRES,23616
IND,2013,IP.TMK.NRES,19646
IND,2012,IP.TMK.NRES,14807
IND,2011,IP.TMK.NRES,22161
IND,2010,IP.TMK.NRES,17806
IND,2009,IP.TMK.NRES,7540
IND,2008,IP.TMK.NRES,10801
IND,2007,IP.TMK.NRES,6500
IND,2006,IP.TMK.NRES,15211
IND,2005,IP.TMK.NRES,12361
IND,2004,IP.TMK.NRES,15090
IND,2003,IP.TMK.NRES,15450
IND,2002,IP.TMK.NRES,5930
IND,2001,IP.TMK.NRES,10490
IND,2000,IP.TMK.NRES,17013
IND,1999,IP.TMK.NRES,5393
IND,1995,IP.TMK.NRES,4614
IND,1994,IP.TMK.NRES,3418
IND,1993,IP.TMK.NRES,2862
IND,1992,IP.TMK.NRES,2054
IND,1991,IP.TMK.NRES,2014
IND,1990,IP.TMK.NRES,1968
IND,1989,IP.TMK.NRES,1799
IND,1988,IP.TMK.NRES,4523
IND,1987,IP.TMK.NRES,3166
IND,1986,IP.TMK.NRES,3645
IND,1985,IP.TMK.NRES,1725
IND,1984,IP.TMK.NRES,1612
IND,1983,IP.TMK.NRES,2821
IND,1982,IP.TMK.NRES,2141
IND,1981,IP.TMK.NRES,1185
